score,s1,s2,name,tree1_num,tree2_num,Jaccard_index,tree1_edge,tree2_edge,share_leaves,tree1_leaves,tree2_leaves
0.0007327497,0.0014330149,3.248453e-05,clade0,43.0,43.0,1.0,0.00044,0.00044,"S155,S81,S70,S66,S53,S52,S68,S75,S43,S77,S65,S50,S61,S59,S60,S67,S58,S55,S49,S41,S57,S48,S46,S56,S54,S40,S74,S73,S45,S78,S76,S64,S42,S71,S47,S63,S38,S37,S69,S82,S83,S98,S145","S155,S81,S70,S66,S53,S52,S68,S75,S43,S77,S65,S50,S61,S59,S60,S67,S58,S55,S49,S41,S57,S48,S46,S56,S54,S40,S74,S73,S45,S78,S76,S64,S42,S71,S47,S63,S38,S37,S69,S82,S83,S98,S145","S155,S81,S70,S66,S53,S52,S68,S75,S43,S77,S65,S50,S61,S59,S60,S67,S58,S55,S49,S41,S57,S48,S46,S56,S54,S40,S74,S73,S45,S78,S76,S64,S42,S71,S47,S63,S38,S37,S69,S82,S83,S98,S145"
3.7252903e-06,6.7949295e-06,6.556511e-07,clade1,40.0,40.0,1.0,0.00044,0.00044,"S122,S95,S114,S105,S134,S96,S84,S133,S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93,S135,S127,S88,S13,S116,S62,S128,S111,S125,S23,S4","S122,S95,S114,S105,S134,S96,S84,S133,S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93,S135,S127,S88,S13,S116,S62,S128,S111,S125,S23,S4","S122,S95,S114,S105,S134,S96,S84,S133,S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93,S135,S127,S88,S13,S116,S62,S128,S111,S125,S23,S4"
0.001872927,0.0034243464,0.00032150745,clade2,36.0,36.0,1.0,0.00058,0.00059,"S146,S153,S150,S28,S35,S142,S31,S80,S124,S119,S18,S11,S137,S19,S156,S26,S32,S85,S20,S9,S36,S30,S147,S3,S34,S22,S21,S5,S8,S141,S25,S33,S6,S17,S136,S140","S146,S153,S150,S28,S35,S142,S31,S80,S124,S119,S18,S11,S137,S19,S156,S26,S32,S85,S20,S9,S36,S30,S147,S3,S34,S22,S21,S5,S8,S141,S25,S33,S6,S17,S136,S140","S146,S153,S150,S28,S35,S142,S31,S80,S124,S119,S18,S11,S137,S19,S156,S26,S32,S85,S20,S9,S36,S30,S147,S3,S34,S22,S21,S5,S8,S141,S25,S33,S6,S17,S136,S140"
1.1920929e-07,1.1920929e-07,1.1920929e-07,clade3,31.0,31.0,1.0,0.00044,0.00044,"S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93,S135,S127,S88,S13,S116,S62,S128,S111,S125,S4","S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93,S135,S127,S88,S13,S116,S62,S128,S111,S125,S4","S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93,S135,S127,S88,S13,S116,S62,S128,S111,S125,S4"
3.4868717e-05,3.9875507e-05,2.9861927e-05,clade4,25.0,25.0,1.0,0.00116,0.00116,"S146,S153,S150,S28,S35,S142,S31,S18,S9,S36,S30,S147,S3,S34,S22,S21,S5,S8,S141,S25,S33,S6,S17,S136,S140","S146,S153,S150,S28,S35,S142,S31,S18,S9,S36,S30,S147,S3,S34,S22,S21,S5,S8,S141,S25,S33,S6,S17,S136,S140","S146,S153,S150,S28,S35,S142,S31,S18,S9,S36,S30,S147,S3,S34,S22,S21,S5,S8,S141,S25,S33,S6,S17,S136,S140"
0.0006867349,0.0006722808,0.00070118904,clade5,21.0,21.0,1.0,0.00141,0.00141,"S67,S58,S55,S49,S41,S57,S48,S46,S56,S54,S40,S74,S73,S45,S78,S76,S64,S42,S71,S47,S63","S67,S58,S55,S49,S41,S57,S48,S46,S56,S54,S40,S74,S73,S45,S78,S76,S64,S42,S71,S47,S63","S67,S58,S55,S49,S41,S57,S48,S46,S56,S54,S40,S74,S73,S45,S78,S76,S64,S42,S71,S47,S63"
0.019240022,0.019240022,0.019240022,clade6,21.0,21.0,1.0,0.00174,0.00174,"S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93","S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93","S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93"
0.00017112494,0.00017112494,0.00017112494,clade7,20.0,20.0,1.0,0.00058,0.00058,"S91,S51,S103,S112,S97,S44,S113,S39,S89,S92,S120,S104,S100,S94,S86,S90,S110,S131,S115,S87","S91,S51,S103,S112,S97,S44,S113,S39,S89,S92,S120,S104,S100,S94,S86,S90,S110,S131,S115,S87","S91,S51,S103,S112,S97,S44,S113,S39,S89,S92,S120,S104,S100,S94,S86,S90,S110,S131,S115,S87"
2.8014183e-05,4.339218e-05,1.2636185e-05,clade8,19.0,19.0,1.0,0.00044,0.00044,"S153,S28,S35,S142,S31,S18,S9,S36,S30,S147,S3,S34,S22,S21,S5,S25,S6,S17,S140","S153,S28,S35,S142,S31,S18,S9,S36,S30,S147,S3,S34,S22,S21,S5,S25,S6,S17,S140","S153,S28,S35,S142,S31,S18,S9,S36,S30,S147,S3,S34,S22,S21,S5,S25,S6,S17,S140"
3.6239624e-05,3.6239624e-05,3.6239624e-05,clade9,16.0,17.0,0.941,0.00044,0.00044,"S154,S2,S1,S14,S15,S10,S7,S16,S24,S148,S152,S144,S27,S151,S143,S149","S154,S2,S1,S14,S15,S10,S7,S16,S24,S148,S152,S144,S27,S151,S143,S149","S154,S2,S1,S14,S15,S10,S7,S16,S24,S148,S152,S144,S27,S151,S143,S149,S139"
