score,s1,s2,name,tree1_num,tree2_num,Jaccard_index,tree1_edge,tree2_edge,share_leaves,tree1_leaves,tree2_leaves
0.01272288,0.010015488,0.015430272,clade0,40.0,40.0,1.0,0.00047,0.00044,"S122,S95,S114,S105,S134,S96,S84,S133,S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93,S135,S127,S88,S13,S116,S62,S128,S111,S125,S23,S4","S122,S95,S114,S105,S134,S96,S84,S133,S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93,S135,S127,S88,S13,S116,S62,S128,S111,S125,S23,S4","S122,S95,S114,S105,S134,S96,S84,S133,S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93,S135,S127,S88,S13,S116,S62,S128,S111,S125,S23,S4"
0.02018854,0.038165092,0.002211988,clade1,34.0,35.0,0.971,0.00429,0.00053,"S70,S66,S53,S52,S68,S75,S43,S77,S65,S50,S61,S59,S60,S67,S58,S55,S49,S41,S57,S48,S46,S56,S54,S40,S74,S73,S45,S78,S76,S64,S42,S71,S47,S63","S70,S66,S53,S52,S68,S75,S43,S77,S65,S50,S61,S59,S60,S67,S58,S55,S49,S41,S57,S48,S46,S56,S54,S40,S74,S73,S45,S78,S76,S64,S42,S71,S47,S63","S70,S66,S53,S52,S68,S75,S43,S77,S65,S50,S61,S59,S60,S67,S58,S55,S49,S41,S57,S48,S46,S56,S54,S40,S74,S73,S45,S78,S76,S64,S42,S71,S47,S63,S69"
0.09058744,0.101466715,0.07970816,clade2,33.0,36.0,0.917,0.00053,0.00059,"S146,S153,S150,S28,S35,S142,S31,S80,S11,S137,S19,S156,S26,S32,S85,S20,S9,S36,S30,S147,S3,S34,S22,S21,S5,S8,S141,S25,S33,S6,S17,S136,S140","S146,S153,S150,S28,S35,S142,S31,S80,S11,S137,S19,S156,S26,S32,S85,S20,S9,S36,S30,S147,S3,S34,S22,S21,S5,S8,S141,S25,S33,S6,S17,S136,S140","S146,S153,S150,S28,S35,S142,S31,S80,S124,S119,S18,S11,S137,S19,S156,S26,S32,S85,S20,S9,S36,S30,S147,S3,S34,S22,S21,S5,S8,S141,S25,S33,S6,S17,S136,S140"
0.05085638,0.08160049,0.020112276,clade3,32.0,31.0,0.969,0.00047,0.00044,"S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93,S135,S127,S88,S13,S116,S62,S128,S111,S125,S4","S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93,S135,S127,S88,S13,S116,S62,S128,S111,S125,S23,S4","S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93,S135,S127,S88,S13,S116,S62,S128,S111,S125,S4"
0.0035632849,0.00030738115,0.0068191886,clade4,24.0,25.0,0.96,0.00106,0.00116,"S146,S153,S150,S28,S35,S142,S31,S9,S36,S30,S147,S3,S34,S22,S21,S5,S8,S141,S25,S33,S6,S17,S136,S140","S146,S153,S150,S28,S35,S142,S31,S9,S36,S30,S147,S3,S34,S22,S21,S5,S8,S141,S25,S33,S6,S17,S136,S140","S146,S153,S150,S28,S35,S142,S31,S18,S9,S36,S30,S147,S3,S34,S22,S21,S5,S8,S141,S25,S33,S6,S17,S136,S140"
0.01112619,0.00017273426,0.022079647,clade5,21.0,21.0,1.0,0.00047,0.00174,"S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93","S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93","S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93"
0.021146119,0.0027740002,0.039518237,clade6,21.0,21.0,1.0,0.00054,0.00141,"S67,S58,S55,S49,S41,S57,S48,S46,S56,S54,S40,S74,S73,S45,S78,S76,S64,S42,S71,S47,S63","S67,S58,S55,S49,S41,S57,S48,S46,S56,S54,S40,S74,S73,S45,S78,S76,S64,S42,S71,S47,S63","S67,S58,S55,S49,S41,S57,S48,S46,S56,S54,S40,S74,S73,S45,S78,S76,S64,S42,S71,S47,S63"
0.021031022,0.018373609,0.023688436,clade7,20.0,20.0,1.0,0.00054,0.00058,"S91,S51,S103,S112,S97,S44,S113,S39,S89,S92,S120,S104,S100,S94,S86,S90,S110,S131,S115,S87","S91,S51,S103,S112,S97,S44,S113,S39,S89,S92,S120,S104,S100,S94,S86,S90,S110,S131,S115,S87","S91,S51,S103,S112,S97,S44,S113,S39,S89,S92,S120,S104,S100,S94,S86,S90,S110,S131,S115,S87"
0.002246976,0.0031644106,0.0013295412,clade8,19.0,17.0,0.895,0.00054,0.00044,"S154,S2,S1,S14,S15,S10,S7,S16,S24,S148,S152,S144,S27,S151,S143,S149,S139","S154,S2,S1,S14,S15,S10,S7,S16,S24,S148,S152,S144,S27,S18,S145,S151,S143,S149,S139","S154,S2,S1,S14,S15,S10,S7,S16,S24,S148,S152,S144,S27,S151,S143,S149,S139"
0.005158901,0.0084043145,0.0019134879,clade9,13.0,13.0,1.0,0.00054,0.00059,"S39,S89,S92,S120,S104,S100,S94,S86,S90,S110,S131,S115,S87","S39,S89,S92,S120,S104,S100,S94,S86,S90,S110,S131,S115,S87","S39,S89,S92,S120,S104,S100,S94,S86,S90,S110,S131,S115,S87"
