score,s1,s2,name,tree1_num,tree2_num,Jaccard_index,tree1_edge,tree2_edge,share_leaves,tree1_leaves,tree2_leaves
0.013514996,0.011243343,0.015786648,clade0,40.0,40.0,1.0,0.00047,0.00044,"S122,S95,S114,S105,S134,S96,S84,S133,S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93,S135,S127,S88,S13,S116,S62,S128,S111,S125,S23,S4","S122,S95,S114,S105,S134,S96,S84,S133,S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93,S135,S127,S88,S13,S116,S62,S128,S111,S125,S23,S4","S122,S95,S114,S105,S134,S96,S84,S133,S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93,S135,S127,S88,S13,S116,S62,S128,S111,S125,S23,S4"
0.0041816533,0.0065968037,0.0017665029,clade1,34.0,35.0,0.971,0.0043,0.00053,"S70,S66,S53,S52,S68,S75,S43,S77,S65,S50,S61,S59,S60,S67,S58,S55,S49,S41,S57,S48,S46,S56,S54,S40,S74,S73,S45,S78,S76,S64,S42,S71,S47,S63","S70,S66,S53,S52,S68,S75,S43,S77,S65,S50,S61,S59,S60,S67,S58,S55,S49,S41,S57,S48,S46,S56,S54,S40,S74,S73,S45,S78,S76,S64,S42,S71,S47,S63","S70,S66,S53,S52,S68,S75,S43,S77,S65,S50,S61,S59,S60,S67,S58,S55,S49,S41,S57,S48,S46,S56,S54,S40,S74,S73,S45,S78,S76,S64,S42,S71,S47,S63,S69"
0.027270049,0.04489243,0.009647667,clade2,33.0,36.0,0.917,0.00054,0.00058,"S146,S153,S150,S28,S35,S142,S31,S80,S11,S137,S19,S156,S26,S32,S85,S20,S9,S36,S30,S147,S3,S34,S22,S21,S5,S8,S141,S25,S33,S6,S17,S136,S140","S146,S153,S150,S28,S35,S142,S31,S80,S11,S137,S19,S156,S26,S32,S85,S20,S9,S36,S30,S147,S3,S34,S22,S21,S5,S8,S141,S25,S33,S6,S17,S136,S140","S146,S153,S150,S28,S35,S142,S31,S80,S124,S119,S18,S11,S137,S19,S156,S26,S32,S85,S20,S9,S36,S30,S147,S3,S34,S22,S21,S5,S8,S141,S25,S33,S6,S17,S136,S140"
0.04107663,0.069543004,0.012610257,clade3,32.0,31.0,0.969,0.00047,0.00044,"S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93,S135,S127,S88,S13,S116,S62,S128,S111,S125,S4","S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93,S135,S127,S88,S13,S116,S62,S128,S111,S125,S23,S4","S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93,S135,S127,S88,S13,S116,S62,S128,S111,S125,S4"
0.0018569231,0.00071424246,0.0029996037,clade4,24.0,25.0,0.96,0.00107,0.00116,"S146,S153,S150,S28,S35,S142,S31,S9,S36,S30,S147,S3,S34,S22,S21,S5,S8,S141,S25,S33,S6,S17,S136,S140","S146,S153,S150,S28,S35,S142,S31,S9,S36,S30,S147,S3,S34,S22,S21,S5,S8,S141,S25,S33,S6,S17,S136,S140","S146,S153,S150,S28,S35,S142,S31,S18,S9,S36,S30,S147,S3,S34,S22,S21,S5,S8,S141,S25,S33,S6,S17,S136,S140"
0.029737353,0.0015616417,0.057913065,clade5,21.0,21.0,1.0,0.00054,0.00141,"S67,S58,S55,S49,S41,S57,S48,S46,S56,S54,S40,S74,S73,S45,S78,S76,S64,S42,S71,S47,S63","S67,S58,S55,S49,S41,S57,S48,S46,S56,S54,S40,S74,S73,S45,S78,S76,S64,S42,S71,S47,S63","S67,S58,S55,S49,S41,S57,S48,S46,S56,S54,S40,S74,S73,S45,S78,S76,S64,S42,S71,S47,S63"
0.012536496,0.0006657243,0.024407268,clade6,21.0,21.0,1.0,0.00047,0.00174,"S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93","S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93","S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93"
0.020119011,0.016642809,0.023595214,clade7,20.0,20.0,1.0,0.00054,0.00058,"S91,S51,S103,S112,S97,S44,S113,S39,S89,S92,S120,S104,S100,S94,S86,S90,S110,S131,S115,S87","S91,S51,S103,S112,S97,S44,S113,S39,S89,S92,S120,S104,S100,S94,S86,S90,S110,S131,S115,S87","S91,S51,S103,S112,S97,S44,S113,S39,S89,S92,S120,S104,S100,S94,S86,S90,S110,S131,S115,S87"
0.006932497,0.012508333,0.0013566613,clade8,19.0,16.0,0.842,0.00054,0.00044,"S154,S2,S1,S14,S15,S10,S7,S16,S24,S148,S152,S144,S27,S151,S143,S149","S154,S2,S1,S14,S15,S10,S7,S16,S24,S148,S152,S144,S27,S18,S145,S151,S143,S149,S139","S154,S2,S1,S14,S15,S10,S7,S16,S24,S148,S152,S144,S27,S151,S143,S149"
0.0059213936,0.009006679,0.0028361082,clade9,13.0,13.0,1.0,0.00054,0.00058,"S39,S89,S92,S120,S104,S100,S94,S86,S90,S110,S131,S115,S87","S39,S89,S92,S120,S104,S100,S94,S86,S90,S110,S131,S115,S87","S39,S89,S92,S120,S104,S100,S94,S86,S90,S110,S131,S115,S87"
0.042898715,0.02350092,0.06229651,clade10,13.0,13.0,1.0,0.00054,0.00058,"S70,S66,S53,S52,S68,S75,S43,S77,S65,S50,S61,S59,S60","S70,S66,S53,S52,S68,S75,S43,S77,S65,S50,S61,S59,S60","S70,S66,S53,S52,S68,S75,S43,S77,S65,S50,S61,S59,S60"
0.02145359,0.039090097,0.0038170815,clade11,9.0,9.0,1.0,0.00047,0.00117,"S135,S127,S88,S13,S116,S62,S128,S111,S125","S135,S127,S88,S13,S116,S62,S128,S111,S125","S135,S127,S88,S13,S116,S62,S128,S111,S125"
0.0077118874,0.003987491,0.011436284,clade12,9.0,9.0,1.0,0.00107,0.00117,"S9,S36,S30,S147,S3,S34,S22,S21,S5","S9,S36,S30,S147,S3,S34,S22,S21,S5","S9,S36,S30,S147,S3,S34,S22,S21,S5"
0.0010122359,0.0012439489,0.0007805228,clade13,8.0,8.0,1.0,0.00161,0.00233,"S122,S95,S114,S105,S134,S96,S84,S133","S122,S95,S114,S105,S134,S96,S84,S133","S122,S95,S114,S105,S134,S96,S84,S133"
0.07114524,0.019961119,0.122329354,clade14,8.0,8.0,1.0,0.00054,0.00058,"S11,S137,S19,S156,S26,S32,S85,S20","S11,S137,S19,S156,S26,S32,S85,S20","S11,S137,S19,S156,S26,S32,S85,S20"
0.009471178,0.0005251169,0.01841724,clade15,6.0,6.0,1.0,0.00053,0.00116,"S10,S7,S16,S24,S148,S152","S10,S7,S16,S24,S148,S152","S10,S7,S16,S24,S148,S152"
0.013025045,0.00045895576,0.025591135,clade16,5.0,5.0,1.0,0.00054,0.00116,"S154,S2,S1,S14,S15","S154,S2,S1,S14,S15","S154,S2,S1,S14,S15"
