score,s1,s2,name,tree1_num,tree2_num,Jaccard_index,tree1_edge,tree2_edge,share_leaves,tree1_leaves,tree2_leaves
0.012341499,0.015656233,0.009026766,clade0,40.0,40.0,1.0,0.00044,0.00047,"S122,S95,S114,S105,S134,S96,S84,S133,S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93,S135,S127,S88,S13,S116,S62,S128,S111,S125,S23,S4","S122,S95,S114,S105,S134,S96,S84,S133,S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93,S135,S127,S88,S13,S116,S62,S128,S111,S125,S23,S4","S122,S95,S114,S105,S134,S96,S84,S133,S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93,S135,S127,S88,S13,S116,S62,S128,S111,S125,S23,S4"
0.0052648783,0.0017968416,0.008732915,clade1,35.0,34.0,0.971,0.00053,0.00429,"S70,S66,S53,S52,S68,S75,S43,S77,S65,S50,S61,S59,S60,S67,S58,S55,S49,S41,S57,S48,S46,S56,S54,S40,S74,S73,S45,S78,S76,S64,S42,S71,S47,S63","S70,S66,S53,S52,S68,S75,S43,S77,S65,S50,S61,S59,S60,S67,S58,S55,S49,S41,S57,S48,S46,S56,S54,S40,S74,S73,S45,S78,S76,S64,S42,S71,S47,S63,S69","S70,S66,S53,S52,S68,S75,S43,S77,S65,S50,S61,S59,S60,S67,S58,S55,S49,S41,S57,S48,S46,S56,S54,S40,S74,S73,S45,S78,S76,S64,S42,S71,S47,S63"
0.014981002,0.011499226,0.018462777,clade2,36.0,33.0,0.917,0.00058,0.00053,"S146,S153,S150,S28,S35,S142,S31,S80,S11,S137,S19,S156,S26,S32,S85,S20,S9,S36,S30,S147,S3,S34,S22,S21,S5,S8,S141,S25,S33,S6,S17,S136,S140","S146,S153,S150,S28,S35,S142,S31,S80,S124,S119,S18,S11,S137,S19,S156,S26,S32,S85,S20,S9,S36,S30,S147,S3,S34,S22,S21,S5,S8,S141,S25,S33,S6,S17,S136,S140","S146,S153,S150,S28,S35,S142,S31,S80,S11,S137,S19,S156,S26,S32,S85,S20,S9,S36,S30,S147,S3,S34,S22,S21,S5,S8,S141,S25,S33,S6,S17,S136,S140"
0.040717036,0.020112276,0.061321795,clade3,31.0,32.0,0.969,0.00044,0.00047,"S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93,S135,S127,S88,S13,S116,S62,S128,S111,S125,S4","S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93,S135,S127,S88,S13,S116,S62,S128,S111,S125,S4","S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93,S135,S127,S88,S13,S116,S62,S128,S111,S125,S23,S4"
0.001734525,0.0025197864,0.0009492636,clade4,25.0,24.0,0.96,0.00116,0.00106,"S146,S153,S150,S28,S35,S142,S31,S9,S36,S30,S147,S3,S34,S22,S21,S5,S8,S141,S25,S33,S6,S17,S136,S140","S146,S153,S150,S28,S35,S142,S31,S18,S9,S36,S30,S147,S3,S34,S22,S21,S5,S8,S141,S25,S33,S6,S17,S136,S140","S146,S153,S150,S28,S35,S142,S31,S9,S36,S30,S147,S3,S34,S22,S21,S5,S8,S141,S25,S33,S6,S17,S136,S140"
0.019312978,0.036771297,0.0018546581,clade5,21.0,21.0,1.0,0.00141,0.00054,"S67,S58,S55,S49,S41,S57,S48,S46,S56,S54,S40,S74,S73,S45,S78,S76,S64,S42,S71,S47,S63","S67,S58,S55,S49,S41,S57,S48,S46,S56,S54,S40,S74,S73,S45,S78,S76,S64,S42,S71,S47,S63","S67,S58,S55,S49,S41,S57,S48,S46,S56,S54,S40,S74,S73,S45,S78,S76,S64,S42,S71,S47,S63"
0.0007326007,0.0006400347,0.0008251667,clade6,21.0,21.0,1.0,0.00174,0.00047,"S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93","S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93","S12,S109,S132,S29,S117,S99,S106,S121,S129,S107,S123,S108,S118,S126,S101,S102,S138,S130,S79,S72,S93"
0.01902178,0.023009658,0.015033901,clade7,20.0,20.0,1.0,0.00058,0.00054,"S91,S51,S103,S112,S97,S44,S113,S39,S89,S92,S120,S104,S100,S94,S86,S90,S110,S131,S115,S87","S91,S51,S103,S112,S97,S44,S113,S39,S89,S92,S120,S104,S100,S94,S86,S90,S110,S131,S115,S87","S91,S51,S103,S112,S97,S44,S113,S39,S89,S92,S120,S104,S100,S94,S86,S90,S110,S131,S115,S87"
0.0025641322,0.001210928,0.0039173365,clade8,16.0,19.0,0.842,0.00044,0.00054,"S154,S2,S1,S14,S15,S10,S7,S16,S24,S148,S152,S144,S27,S151,S143,S149","S154,S2,S1,S14,S15,S10,S7,S16,S24,S148,S152,S144,S27,S151,S143,S149","S154,S2,S1,S14,S15,S10,S7,S16,S24,S148,S152,S144,S27,S18,S145,S151,S143,S149,S139"
0.05415705,0.09168571,0.016628385,clade9,13.0,13.0,1.0,0.00058,0.00053,"S70,S66,S53,S52,S68,S75,S43,S77,S65,S50,S61,S59,S60","S70,S66,S53,S52,S68,S75,S43,S77,S65,S50,S61,S59,S60","S70,S66,S53,S52,S68,S75,S43,S77,S65,S50,S61,S59,S60"
