score,s1,s2,name
0.14407384,0.20948243,0.07866526,S146
0.01438123,0.0067572594,0.0220052,S153
0.008025527,0.00028651953,0.015764534,S150
0.006072432,0.00029957294,0.011845291,S28
0.005649239,0.00029957294,0.010998905,S35
0.004199177,0.001578033,0.006820321,S142
0.0049881935,0.00032812357,0.009648263,S31
0.05048752,0.0025965571,0.09837848,S80
0.33292425,0.11935955,0.54648894,S155
0.27606466,0.029385626,0.5227437,S81
0.001093179,0.0005387068,0.0016476512,S70
0.0021367967,0.0008111596,0.0034624338,S66
0.0050622225,0.0005105734,0.009613872,S53
0.0047384202,0.0006147027,0.008862138,S52
0.0027830899,2.3007393e-05,0.0055431724,S68
0.0049264133,5.531311e-05,0.0097975135,S75
0.0015516877,0.00080263615,0.0023007393,S43
0.0005017817,0.00024348497,0.00076007843,S77
0.003568709,0.0005773902,0.0065600276,S65
0.0003901124,0.00026118755,0.00051903725,S50
0.0027102232,0.0003823042,0.005038142,S61
0.0025711954,0.00048685074,0.00465554,S59
0.00085937977,0.0004657507,0.0012530088,S60
0.001634568,0.0032218695,4.7266483e-05,S67
0.0048496425,0.009570181,0.00012910366,S58
0.00019729137,0.00013196468,0.00026261806,S55
0.00015377998,4.4941902e-05,0.00026261806,S49
0.012275159,0.004801631,0.019748688,S41
0.0008049607,0.0013571978,0.0002527237,S57
0.00057816505,0.0003336668,0.0008226633,S48
0.00023308396,0.0003864169,7.9751015e-05,S46
0.0013214946,0.0026061535,3.683567e-05,S56
0.0029961169,0.0047638416,0.0012283921,S54
0.010235757,0.00061273575,0.019858778,S40
0.0023478568,0.0045683384,0.00012737513,S74
0.0018376112,0.0028466582,0.00082856417,S73
0.013612777,0.025948048,0.0012775064,S45
0.00017681718,0.0003284812,2.515316e-05,S78
0.012512565,0.024987638,3.749132e-05,S76
0.081974536,1.0311604e-05,0.16393876,S64
0.0032937825,0.00646019,0.00012737513,S42
0.0025211275,0.00478667,0.00025558472,S71
0.0025876164,0.004818499,0.0003567338,S47
0.00023913383,0.00030958652,0.00016868114,S63
0.01877433,0.027801812,0.00974685,S38
0.01877433,0.027801812,0.00974685,S37
0.13602114,0.14087296,0.13116932,S69
0.00045588613,0.00014334917,0.0007684231,S122
0.002224654,0.003675878,0.00077342987,S95
0.0022221506,0.003675878,0.0007684231,S114
0.008567989,0.010801792,0.0063341856,S105
0.00023815036,0.00046020746,1.6093254e-05,S134
0.0004567802,0.00046020746,0.00045335293,S96
0.0002465248,3.9696693e-05,0.00045335293,S84
0.0012525618,0.0024459958,5.9127808e-05,S133
0.057001263,0.10646665,0.007535875,S12
0.010610372,0.019381821,0.0018389225,S109
0.01335758,0.025738597,0.0009765625,S132
0.044251055,0.02032435,0.06817776,S29
0.03453788,0.02678448,0.042291284,S117
0.23478118,0.4679445,0.0016178489,S99
0.0382618,0.031733334,0.044790268,S106
0.08658987,0.17193258,0.0012471676,S121
0.06567982,0.12495899,0.006400645,S129
0.053925782,0.10073185,0.007119715,S107
0.053925782,0.10073185,0.007119715,S123
0.018347442,0.03270358,0.003991306,S108
0.02423498,0.047755957,0.00071400404,S118
0.0032528937,0.004999399,0.0015063882,S126
0.009203464,0.015648663,0.0027582645,S101
0.009203464,0.015648663,0.0027582645,S102
0.011900723,0.022310615,0.0014908314,S138
0.07240474,0.07072306,0.07408643,S130
0.074756,0.07072306,0.078788936,S79
0.07294911,0.07072306,0.075175166,S72
0.07358709,0.07072306,0.07645112,S93
0.0009536445,0.0017257929,0.00018149614,S135
0.00189659,0.0036099553,0.00018322468,S127
0.040004104,0.002441883,0.077566326,S88
0.04357463,0.0019795895,0.08516967,S13
0.033611238,0.0029120445,0.06431043,S116
0.0068439543,0.0037440658,0.009943843,S62
0.0068439543,0.0037440658,0.009943843,S128
0.006671816,0.0035488605,0.009794772,S111
0.006526649,0.003723979,0.009329319,S125
